发震时刻,经度,纬度,深度（千米）,参考位置,震级
2026/1/26 14:56,103.25 ,34.06 ,10,甘肃甘南州迭部县,5.5
2026/1/19 19:32,103.41 ,27.01 ,10,云南昭通市巧家县,5.1
2026/1/7 3:17,74.93 ,37.58 ,10,新疆喀什地区塔什库尔干县,5.2
2025/12/27 23:05,122.06 ,24.67 ,60,台湾宜兰县海域,6.6
2025/12/24 17:47,121.12 ,22.86 ,10,台湾台东县,5.8
2025/12/11 19:59,88.65 ,32.95 ,10,西藏那曲市双湖县,5
2025/12/8 19:24,121.70 ,23.78 ,20,台湾花莲县海域,5.1
2025/12/4 15:44,78.40 ,41.13 ,10,新疆克孜勒苏州阿合奇县,6
2025/12/2 18:56,92.81 ,31.83 ,10,西藏那曲市比如县,4.9
2025/10/27 15:39,88.52 ,41.77 ,27,新疆吐鲁番市托克逊县,4.7
2025/10/26 23:02,99.65 ,29.08 ,15,四川甘孜州乡城县,4.7
2025/10/25 19:45,131.10 ,43.08 ,560,吉林延边州珲春市,5.5
2025/10/12 15:21,103.09 ,30.48 ,10,四川雅安市芦山县,4.7
2025/10/11 11:18,103.46 ,27.03 ,10,云南昭通市鲁甸县,4.8
2025/10/9 13:17,99.86 ,30.84 ,10,四川甘孜州新龙县,5.4
2025/9/27 5:49,104.58 ,34.91 ,10,甘肃定西市陇西县,5.6
2025/9/2 15:58,78.76 ,40.75 ,17,新疆阿克苏地区柯坪县,4.7
2025/8/27 21:11,121.84 ,24.89 ,110,台湾宜兰县,4.9
2025/8/26 8:03,87.77 ,33.97 ,10,西藏那曲市双湖县,4.7
2025/8/7 15:45,123.00 ,24.50 ,80,台湾以东海域,5.4
2025/6/15 18:37,104.87 ,28.30 ,6.67,四川宜宾市珙县,4.7
2025/6/15 18:37,104.87 ,28.26 ,10,四川宜宾市珙县,4.8
2025/6/5 4:31,99.94 ,26.30 ,6.67,云南大理州洱源县,4.8
2025/6/5 4:31,100.03 ,26.26 ,10,云南大理州洱源县,5
2025/5/12 5:11,87.51 ,28.76 ,5,西藏日喀则市定日县,4.8
2025/5/12 5:11,87.54 ,28.91 ,10,西藏日喀则市拉孜县,5.5
2025/5/5 18:53,121.94 ,23.87 ,15,台湾花莲县海域,5.7
2025/5/5 18:10,121.94 ,23.89 ,16,台湾花莲县海域,4.9
2025/4/29 16:17,81.93 ,33.58 ,10,西藏阿里地区日土县,4.8
2025/4/26 12:21,98.95 ,30.87 ,10,四川甘孜州白玉县,4.9
2025/4/24 0:08,100.00 ,26.27 ,10,云南大理州洱源县,4.8
2025/3/24 19:21,105.18 ,28.03 ,8,四川泸州市叙永县,4.9
2025/3/13 13:09,121.55 ,23.07 ,15,台湾台东县海域,5
2025/3/8 16:50,87.51 ,28.38 ,10,西藏日喀则市定日县,4.7
2025/2/5 7:42,83.74 ,41.23 ,10,新疆阿克苏地区库车市,5
2025/1/30 10:11,120.57 ,23.25 ,10,台湾嘉义县,5.2
2025/1/27 8:18,121.10 ,22.75 ,10,台湾台东县,4.7
2025/1/26 7:38,120.48 ,23.17 ,10,台湾台南市,5.1
2025/1/25 19:49,120.46 ,23.31 ,11,台湾台南市,5.1
2025/1/24 19:18,120.47 ,23.18 ,15,台湾台南市,4.8
